Ainesh Bakshi, Massachusetts Institute of Technology
Amey Bhangale," University of California, Riverside"
Markus Bläser, Saarland University
Deeparnab Chakrabarty, Dartmouth College
Parinya Chalermsook, Aalto University
Karthekeyan Chandrasekaran, University of Illinois Urbana-Champaign
Eshan Chattopadhyay, Cornell University
Sitan Chen, Harvard University
Matthias Christandl, University of Copenhagen
Debarati Das, Pennsylvania State University
Arnaud de Mesmay, CNRS
Mahsa Derakhshan, Northeastern University
Tamal K. Dey, Purdue University
Irit Dinur, Weizmann Institute of Science
Talya Eden, Bar-Ilan University
Uriel Feige, Weizmann Institute of Science
Alexander Golovnev, Georgetown University
Fabrizio Grandoni, SUPSI
Fernando Granha Jeronimo, Institute for Advanced Study
Siyao Guo, NYU Shanghai
Tom Gur (ToC Advocate), University of Cambridge
Elad Hazan, Princeton University and Google DeepMind
Christian Ikenmeyer, University of Warwick
Nicole Immorlica, Microsoft Research
Vishesh Jain, University of Illinois Chicago
Anna R. Karlin (ToC Advocate), University of Washington
Karthik C. S., Rutgers University
Tali Kaufman, Bar-Ilan University
Subhash Khot, New York University
Dakshita Khurana (ToC Advocate), University of Illinois Urbana-Champaign
Tomasz Kociumaka, Max Planck Institute for Informatics
Frederic Koehler, Stanford University
Fabian Kuhn, University of Freiburg
Bundit Laekhanukit, Shanghai University of Finance and Economics
Kasper Green Larsen, Aarhus University
Lap Chi Lau, University of Waterloo
Euiwoong Lee, University of Michigan
Xin Li, Johns Hopkins University
Pinyan Lu, Shanghai University of Finance and Economics
Laura Mančinska, University of Copenhagen
Yasamin Nazari, VU Amsterdam
Jesper Nederlof, Utrecht University
Ryan O'Donnell, Carnegie Mellon University
Marcin Pilipczuk, University of Warsaw
Toniann Pitassi, Columbia University
Kent Quanrud, Purdue University
Eva Rotenberg (ToC Advocate), Technical University of Denmark
Ronitt Rubinfeld, Massachusetts Institute of Technology
Nitin Saxena, IIT Kanpur
Elaine Shi, Carnegie Mellon University
Alistair Sinclair," University of California, Berkeley"
Sahil Singla, Georgia Institute of Technology
Adam Smith, Boston University and Google
Nikhil Srivastava," University of California, Berkeley"
Avishay Tal," University of California, Berkeley"
Li-Yang Tan, Stanford University
Kevin Tian, University of Texas at Austin
Ohad Trabelsi, TTI-Chicago
Madhur Tulsiani, TTI-Chicago
Jara Uitto, Aalto University
Gregory Valiant, Stanford University
Jan van den Brand, Georgia Institute of Technology
Virginia Vassilevska Williams, Massachusetts Institute of Technology
László A. Végh, London School of Economics
Eric Vigoda," University of California, Santa Barbara"
David Wajc, Technion
Alexander S. Wein," University of California, Davis"
S. Matthew Weinberg, Princeton University
Yuval Wigderson, ETH Zurich
David P. Woodruff, Carnegie Mellon University
Yitong Yin, Nanjing University
Rico Zenklusen, ETH Zurich
Peng Zhang, Rutgers University
Stanislav Živný, University of Oxford